facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
OR-F00691,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,2,0,0,0,3,,,1,1,
OR-F00390,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,24,1,6,20,0,0,6,50,,,1,1,
OR-F00540,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,1,0,0,0,4,,,1,1,
OR-F00373,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,2,0,0,0,6,,,1,1,
OR-F00166,Open,Washington,4,AFH,,,,2026-07-06,No/Unknown,10,2,0,11,0,0,0,21,,,1,1,
OR-F00310,Open,Washington,27,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,4,1,3,34,0,0,3,41,,,2,2,OR036
OR-F00635,Open,Washington,59,ALF,Medicaid,,,2026-07-06,Yes,3,0,1,34,0,0,1,38,,,2,2,OR036
OR-F00256,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00521,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,2,1,6,0,0,1,13,,,1,1,
OR-F00605,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00299,Open,Washington,62,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,5,2,4,12,0,0,4,21,,,1,1,
OR-F00047,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00397,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,2,0,0,0,6,,,1,1,
OR-F00447,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,7,2,0,2,0,0,0,9,,,1,1,
OR-F00095,Open,Washington,2,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00081,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00270,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,4,0,7,0,0,0,13,,,1,1,
OR-F00177,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,1,0,0,0,3,,,1,1,
OR-F00771,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,0,0,0,0,2,,,1,1,
OR-F00624,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,3,0,0,0,6,,,1,1,
OR-F00225,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,2,0,0,0,6,,,1,1,
OR-F00265,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,7,0,0,0,10,,,1,1,
OR-F00586,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,3,0,9,0,0,0,15,,,1,1,
OR-F00695,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00229,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,0,0,0,0,2,,,1,1,
OR-F00277,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,0,0,0,0,3,,,1,1,
OR-F00084,Open,Washington,3,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00267,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,4,0,0,0,7,,,1,1,
