facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
OR-F00328,Washington,22,Yes,"RCF, Memory Care",Medicaid,1,0,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00197,Washington,114,Yes,NF,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00590,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00783,Washington,5,Yes,AFH,Medicaid,2,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00435,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00411,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00266,Washington,5,No/Unknown,AFH,,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00712,Washington,5,Yes,AFH,Medicaid,5,1,19,0,0,19,1,False,False,False,True,False,True,False,
OR-F00706,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00211,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00730,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00543,Washington,2,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00500,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00597,Washington,3,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00719,Washington,5,Yes,AFH,Medicaid,5,2,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00253,Washington,5,No/Unknown,AFH,,2,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00099,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00777,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00780,Washington,5,Yes,AFH,Medicaid,5,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00439,Washington,5,Yes,AFH,Medicaid,5,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00786,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00571,Washington,110,Yes,RCF,Medicaid,21,20,7,0,0,6,1,False,False,True,True,False,True,False,
OR-F00115,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00689,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00774,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00781,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00507,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00518,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00743,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00511,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00728,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00244,Washington,3,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00082,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00203,Washington,78,Yes,NF,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00186,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00787,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00750,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00357,Washington,90,Yes,"RCF, Memory Care",Medicaid,3,1,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00714,Washington,0,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00287,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00285,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00263,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00248,Washington,5,No/Unknown,AFH,,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00070,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00505,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00156,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00587,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00164,Washington,5,Yes,AFH,Medicaid,9,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00608,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00562,Washington,5,Yes,AFH,Medicaid,3,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00238,Washington,5,Yes,AFH,Medicaid,8,1,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00538,Washington,5,Yes,AFH,Medicaid,2,0,2,0,0,2,1,False,False,False,True,False,True,False,
OR-F00533,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00534,Washington,5,Yes,AFH,Medicaid,7,2,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00239,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00556,Washington,5,No/Unknown,AFH,,5,1,0,0,0,0,1,False,False,False,False,False,False,False,
